"periodo_codigo";"periodo";"sexo";"variavel";"taxa_desocupacao"
"202401";"1º trimestre 2024";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,8"
"202401";"1º trimestre 2024";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,9"
"202402";"2º trimestre 2024";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,6"
"202402";"2º trimestre 2024";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,5"
"202402";"2º trimestre 2024";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,9"
"202403";"3º trimestre 2024";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,3"
"202403";"3º trimestre 2024";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,7"
"202403";"3º trimestre 2024";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,4"
"202404";"4º trimestre 2024";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,1"
"202404";"4º trimestre 2024";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,5"
"202404";"4º trimestre 2024";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,2"
"202501";"1º trimestre 2025";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,7"
"202501";"1º trimestre 2025";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,7"
"202501";"1º trimestre 2025";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,0"
"202502";"2º trimestre 2025";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"4,8"
"202502";"2º trimestre 2025";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,9"
"202502";"2º trimestre 2025";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,8"
"202503";"3º trimestre 2025";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"4,5"
"202503";"3º trimestre 2025";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,9"
"202503";"3º trimestre 2025";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,6"
"202504";"4º trimestre 2025";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"4,2"
"202504";"4º trimestre 2025";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,2"
"202504";"4º trimestre 2025";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,1"
