ym,crime,occ,vit
2024-07,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2039,35
2024-07,"ARMAS_E_MUNICOES",477,115
2024-07,"DISCRIMINACAO_E_DIREITOS_HUMANOS",290,299
2024-07,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",572,40
2024-07,"LETAIS_E_VIOLENTOS",102,113
2024-08,"FRAUDES_E_FE_PUBLICA",10853,10679
2024-08,"VIOLENCIA_INTERPESSOAL_DOMESTICA",17317,18527
2024-08,"ORDEM_PUBLICA_E_OUTROS",4485,3676
2024-08,"PATRIMONIAIS_SEM_VIOLENCIA",11073,8793
2024-08,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",622,33
2024-08,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2113,29
2024-08,"VULNERAVEIS_E_CUIDADO",1242,1009
2024-08,"CRIMES_SEXUAIS_E_EXPLORACAO",759,760
2024-08,"TRANSITO",5557,4038
2024-08,"PATRIMONIAIS_COM_VIOLENCIA",2101,2233
2024-08,"ADMINISTRACAO_PUBLICA_E_JUSTICA",969,512
2024-08,"ARMAS_E_MUNICOES",470,111
2024-08,"LETAIS_E_VIOLENTOS",143,164
2024-08,"DISCRIMINACAO_E_DIREITOS_HUMANOS",309,310
2024-09,"FRAUDES_E_FE_PUBLICA",10031,9808
2024-09,"PATRIMONIAIS_SEM_VIOLENCIA",11652,9409
2024-09,"VIOLENCIA_INTERPESSOAL_DOMESTICA",18651,20076
2024-09,"ORDEM_PUBLICA_E_OUTROS",4376,3457
2024-09,"CRIMES_SEXUAIS_E_EXPLORACAO",759,762
2024-09,"TRANSITO",5497,3904
2024-09,"ADMINISTRACAO_PUBLICA_E_JUSTICA",968,515
2024-09,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2213,42
2024-09,"DISCRIMINACAO_E_DIREITOS_HUMANOS",317,327
2024-09,"PATRIMONIAIS_COM_VIOLENCIA",2327,2448
2024-09,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",529,50
2024-09,"VULNERAVEIS_E_CUIDADO",1151,964
2024-09,"LETAIS_E_VIOLENTOS",174,212
2024-09,"ARMAS_E_MUNICOES",506,113
2024-10,"FRAUDES_E_FE_PUBLICA",11070,10696
2024-10,"VIOLENCIA_INTERPESSOAL_DOMESTICA",20235,21802
2024-10,"PATRIMONIAIS_SEM_VIOLENCIA",12388,10022
2024-10,"ORDEM_PUBLICA_E_OUTROS",4436,3556
2024-10,"CRIMES_SEXUAIS_E_EXPLORACAO",868,864
2024-10,"VULNERAVEIS_E_CUIDADO",1408,1157
2024-10,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2152,30
2024-10,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",517,34
2024-10,"TRANSITO",5976,4286
2024-10,"ARMAS_E_MUNICOES",528,171
2024-10,"PATRIMONIAIS_COM_VIOLENCIA",2369,2545
